1375196306884 1 1.50189 0.295635  0.373412 1.55397 0.309576  0.152045 1.59584 0.319791  -0.073466 1.58518 0.131443  0.149771 1.63627 0.102099  -0.151771 1.60532 0.0993388  -0.450534 1.65578 0.226855  -0.300294 1.71641 0.241535  -0.755235 1.71641 0.241534  -1.19677 1.52276 0.487709  0.154319 1.56773 0.543902  -0.151541 1.53318 0.551874  -0.464572 1.61964 0.433156  -0.29766 1.61964 0.433156  -0.756857 1.61962 0.433218  -1.19839 
1375196306884 2 1.48389 -0.453966  0.380706 1.56252 -0.445891  0.166368 1.62178 -0.432386  -0.0598125 1.51901 -0.620989  0.144512 1.59449 -0.66229  -0.159256 1.55317 -0.565112  -0.456226 1.65515 -0.523019  -0.298992 1.63779 -0.555296  -0.76597 1.63779 -0.555296  -1.21637 1.60604 -0.270793  0.188224 1.66718 -0.220666  -0.128578 1.60959 -0.260011  -0.426791 1.70692 -0.314742  -0.272994 1.71213 -0.268876  -0.739129 1.71213 -0.268876  -1.18953 




1375196306984 1 1.50354 0.296812  0.373712 1.55429 0.309231  0.152733 1.59498 0.317533  -0.073076 1.58626 0.131218  0.151949 1.63538 0.102647  -0.151276 1.6052 0.0992955  -0.45012 1.65437 0.221678  -0.299344 1.71096 0.242079  -0.754584 1.71096 0.242079  -1.19612 1.52232 0.487245  0.153518 1.5675 0.543755  -0.153339 1.535 0.546545  -0.466675 1.61696 0.429991  -0.298426 1.61696 0.429991  -0.757623 1.61694 0.430036  -1.19916 
1375196306984 2 1.4872 -0.455855  0.379811 1.56185 -0.447666  0.16501 1.61947 -0.435003  -0.0616381 1.51947 -0.623197  0.144428 1.59524 -0.662952  -0.157627 1.55401 -0.570534  -0.45611 1.65189 -0.526739  -0.300528 1.64091 -0.55928  -0.767682 1.64091 -0.55928  -1.21808 1.60423 -0.272136  0.185593 1.66649 -0.221072  -0.127512 1.60989 -0.259707  -0.426008 1.7023 -0.31794  -0.276045 1.71025 -0.273789  -0.742306 1.71025 -0.273789  -1.19271 




